Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
12_CLIENTES_092,B2B,OPTICAL IP( IMPSAT ),LIMA,LIMA,0,AV. MANUEL OLGUIN 395 - CALLE ORIÓN 119  PISO 5 SANTIAGO DE SURCO,NO URBANO,Zona 2,LIMA,BAJO DEMANDA,,,,Black,12_CLIENTES_092
LI00264,D_1,LOYOLA,LIMA,LIMA,LA MOLINA,"AV. JAVIER PRADO ESTE 5982, MZ A LT 26, URB. SAN CESAR.  AZOTEA _x000D_
HOTEL EL DORADO.",URBANO LIMA,Zona 2,LIMA,FEE,-12.071399,-76.954984,,Black,LI00264
LL00038,B_2,ORBEGOSO,LA LIBERTAD,TRUJILLO,TRUJILLO,JR ALMAGRO 218 PRIMER PISO Y AZOTEA,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.110389,-79.0311,,Black,LL00038
AR00032,B_3,ORCOPAMPA,AREQUIPA,CASTILLA,ORCOPAMPA,CERRO PUCARA,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-15.275831,-72.367744,,Abandonar,AR00032
AR00142,D_3,ORCOPAMPA URA,AREQUIPA,CASTILLA,ORCOPAMPA,MARIANO MELGAR/22 DE OCTUBRE S/N URB. SAN LAZARO,NO URBANO,Zona 3,REGIONES,FEE,-15.265896,-72.343866,,Abandonar,AR00142
JU00437,B_2,ORCOTUNA,JUNIN,CONCEPCION,ORCOTUNA,CENTRO POBLADO ORCOTUNA MZ A2 LOTE 5.,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-11.967685,-75.306889,,Abandonar,JU00437
SM00008,B_2,ORELLANA_TARAPOTO,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,JIRON ALFONSO UGARTE N° 588,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.489111,-76.36542,,Oro,SM00008
LA00020,D_2,ORIENTE,LAMBAYEQUE,CHICLAYO,CHICLAYO,"PASAJE AMAZONAS 473, LOTES 1 Y 2",URBANO REGIONES,Zona 1,REGIONES,FEE,-6.765989,-79.833879,,Black,LA00020
PU00276,B_2,ORIZABAL,PUNO,SAN ROMAN,JULIACA,JR.  SAN VALENTIN MZ E1 – LT 11,URBANO REGIONES,Zona 3,REGIONES,FEE,-15.47431,-70.11952,,Oro,PU00276
LL00348,D_2,ORO AZUL NEW ,LA LIBERTAD,LA LIBERTAD,CHAO,FUNDO ORO AZUL AV PANAMERICANA NORTE KM 497,NO URBANO,Zona 1,REGIONES,FEE,-8.500028,-78.693519,,Abandonar,LL00348
CU00084,D_2,OROPESA CUSCO,CUSCO,QUISPICANCHI,OROPESA,PREDIO DENOMINADO QUISPICANCHI - PUNABAMBA - PARCELA QUISPICANCHIS,URBANO REGIONES,Zona 3,REGIONES,FEE,-13.60409,-71.76333,,Abandonar,CU00084
AN00166,D_1,SAN JACINTO URA,ANCASH,SANTA,NEPEÑA,CA. PRINCIPAL F Y CAMPO DE MARTE,NO URBANO,Zona 2,REGIONES,FEE,-9.1468,-78.2812,,Abandonar,AN00166
JU00023,D_1,MATAHUASI,JUNIN,CONCEPCION,MATAHUASI,"MANUEL BALLARTA S/N PARAJE ABUELO MARIANO (MZ P1, LT 6)",URBANO REGIONES,Zona 2,REGIONES,FEE,-11.892977,-75.342919,,Abandonar,JU00023
PU00069,B_2,ORQUIDEAS ,PUNO,SAN ROMAN,JULIACA,Av. Los Keñuales Mz M Lt. 16,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-15.50481,-70.13804,,Oro,PU00069
LI01598,B_2,ORQUIDEAS LIMA,LIMA,LIMA,PUENTE PIEDRA,C.A.U. COPACABANA PARCELA 37 LOTE B PUENTE PIEDRA,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.85565,-77.070875,,Oro,LI01598
LI06596,B_2,ORQUIDEAS_CAMELIAS,LIMA,LIMA,SAN ISIDRO,Parque Combate de Abtao (Calle Andres Reyes cuadra 4),URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.09422,-77.02819,,Black,LI06596
PI00559,B_2,ORQUIDEAS_JAZMINES,PIURA,PIURA,VEINTISEIS DE OCTUBRE,"URB. POPULAR DE INTERÉS SOCIAL “VILLA HERMOSA” MZ. M, LOTE 11 - 26 DE OCTUBRE",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-5.172936,-80.68993,,Clásico,PI00559
LA00054,D_2,ORREGO,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,CALLE SAN JUAN 644 UR. POPULAR SAN LORENZO,URBANO REGIONES,Zona 1,REGIONES,FEE,-6.75333,-79.84674,,Clásico,LA00054
AN00210,B_2,ORTIGAS REUB,ANCASH,SANTA,CHIMBOTE,ZONA INDUSTRIAL LOS PINOS LT. 5 Y 6. PANAMERICANA NORTE KM 438 - CHIMBOTE - PERU.,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-9.0522,-78.59274,,Oro,AN00210
TA00096,B_2,ORTIZ,TACNA,TACNA,ALTO DE LA ALIANZA,"Manzana L, SubLote 16A, Sector Asociacion de Vivienda Buena Vista - Tacna",URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-17.983371,-70.245323,,Oro,TA00096
AM00243,B_2,ORTIZ_ARIETA_AM,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AV. AEROPUERTO CDRA 2- BARRIO ALONSO DE ALVARADO,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.222673,-77.873501,,Clásico,AM00243
LA00616,B_2,ORTIZ_NORTE,LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,CALLE LOS TOMATES MZ. B LOTE 02 URB. EL OBELISCO,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.742281,-79.83415,,Clásico,LA00616
PU00055,D_2,ORURILLO,PUNO,MELGAR,ORURILLO,JATUN LOMA,NO URBANO,Zona 3,REGIONES,FEE,-14.731778,-70.5087222,,Abandonar,PU00055
LI00598,B_1,OSINERGMIN,LIMA,LIMA,SAN ISIDRO,BERNARDO MONTEAGUDO 222,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.09674,-77.05895,,Black,LI00598
AY00400,B_2,OSWALDO_N_Regal,AYACUCHO,HUANTA,HUANTA,AV. GERVACIO SANTILLANA N 927 -MZ. D - BARRIO LA ALAMEDA,URBANO REGIONES,Zona 2,REGIONES,BAJO DEMANDA,-12.9381611,-74.2545888,,Oro,AY00400
LI01179,B_2,OTERO,LIMA,LIMA,SAN JUAN DE LURIGANCHO,"AV. PROCECERES DE LA INDEPENDENCIA 327, DPTO. 329, MZ. L1, URB. CHACARILLA",URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.0248,-77.0096,,Oro,LI01179
LL00030,D_2,OTUZCO,LA LIBERTAD,OTUZCO,OTUZCO,CACERÍO SAN MARTÍN,NO URBANO,Zona 1,REGIONES,FEE,-7.92305,-78.560808,,Abandonar,LL00030
LL00071,D_2,OTUZCO URA,LA LIBERTAD,OTUZCO,OTUZCO,CALLE LIMA S/N  ,NO URBANO,Zona 1,REGIONES,FEE,-7.90181,-78.5651,,Abandonar,LL00071
PU00260,B_3,OV_CASTILLA,PUNO,PUNO,PUNO,Av. El Sol N° 931 Barrio Porteño,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-15.84059,-70.02151,,Oro,PU00260
LI00155,B_2,OVALO - CORDOVA,LIMA,LIMA,MIRAFLORES,"EDUARDO DOGNY (BERNARDO ALCEDO) 254 - 256, URB STA CRUZ",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.117851,-77.04319,,Black,LI00155
PI00375,B_2,OVALO CACERES PI,PIURA,PIURA,PIURA,AV. PROLONGACION LUIS SANCHEZ CERRO MZ. H SUB LOTE 48-A,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-5.18535,-80.64825,,Black,PI00375
LL00039,B_3,OVALO LA MARINA,LA LIBERTAD,TRUJILLO,TRUJILLO,"CALLE MIGUEL IGLESIAS NO 164, 5TA ETAPA DE LA URBANIZACIÓN SANTA MARÍA",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.12895,-79.0211,,Black,LL00039
LI00840,B_3,OVALO MONITOR 1,LIMA,LIMA,SANTIAGO DE SURCO,"Av. Club Golf Los Incas frente al predio # 150 (Universidad de Lima). Distrito de Santiago de Surco.
",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.08458,-76.96978,,Black,LI00840
LI01208,B_3,Ovalo Monitor 2,LIMA,LIMA,SANTIAGO DE SURCO,JR. LAS CAMELIAS ESQUINA JR. LAS PALMERAS  PREDIO N° 150,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.08192,-76.97029,,Black,LI01208
LI00599,B_3,Ovalo Monitor 3,LIMA,LIMA,SANTIAGO DE SURCO,"Av. Javier Prado Este cdra. 49 frente a Wong. Distrito de Santiago de Surco.
",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.08127,-76.9671,,Black,LI00599
LI00854,B_3,OVALO MORALES 1 (Ex JULIO RAMON RIBEYRO),LIMA,LIMA,MIRAFLORES,"Calle Roma frente al predio # 137 altura Av. Jose Pardo cdra 08. Distrito de Miraflores.
",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.11945,-77.0381,,Black,LI00854
LI01054,B_3,OVALO MORALES 3,LIMA,LIMA,MIRAFLORES,CALLE CESAREO CHACALTANA FRENTE AL PREDIO N° 106 PLAZA MORALES BARROS - MIRAFLORES,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.11855,-77.04009,,Black,LI01054
LL00094,B_2,OVALO PAPAL,LA LIBERTAD,TRUJILLO,TRUJILLO,"MZ M N5 LT10 URB LOS ROSALES, SAN ANDRES",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.122056,-79.04067,,Black,LL00094
PI00114,B_3,OVALO TALARA,PIURA,TALARA,PARIÑAS,AVENIDA BOLOGNESI N° 143 Y N° 145,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-4.57493,-81.27539,,Oro,PI00114
SM00229,B_2,OVALO TARAPOTO,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,AV. VIA DE EVITAMIENTO  S/N ( A 100 MTS  DEL OVALO PERIODISTA ),URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.509437,-76.347281,,Oro,SM00229
LI04734,B_2,OVALO UNIVERSITARIA,LIMA,LIMA,SAN MARTIN DE PORRES,AV. UNIVERSITARIA 301,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-12.02564,-77.07544,,Oro,LI04734
TA00110,B_2,OVALO_CUSCO_TA,TACNA,TACNA,TACNA,Mz “C” Lote 5. Urbanización Monte Verde,URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-18.0258,-70.25181,,Oro,TA00110
LI05971,B_2,OVALO_INFANTAS_MENDIOLA,LIMA,LIMA,LOS OLIVOS,AV 2 DE OCTUBRE CRUCE CON PANAMERICANA NORTE,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.94572,-77.0718,,Black,LI05971
LI05742,B_2,OVALO_MAYORAZGO,LIMA,LIMA,ATE,"AV. SEPARADORA INDUSTRIAL NUMERO 3136, 3132, 3140 Y CALLE JEREZ NUMERO  104 URBANIZACIÓN MAYORAZGO CHICO",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.053766,-76.941071,,Oro,LI05742
LI05828,B_2,OVALO_TAMBO_VERDE,LIMA,LIMA,PACHACAMAC,"AV. CRISANTEMOS MZ A LOTE 8, ASOC DE PROPIETARIOS SEÑOR DE LOS MILAGROS",URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.155007,-76.883288,,Clásico,LI05828
LI00099,D_1,JESUS MARIA,LIMA,LIMA,JESUS MARIA,ESQUINA AV. OLAVEGOYA CON TIZON Y BUENO,URBANO LIMA,Zona 1,LIMA,FEE,-12.080303,-77.047674,,Black,LI00099
PA00093,B_3,OXAPAMPA REP,PASCO,OXAPAMPA,OXAPAMPA,Cº OXAPAMPA,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-10.58472222,-75.41,,Abandonar,PA00093
LA00010,B_2,OXYMAN,LAMBAYEQUE,CHICLAYO,LA VICTORIA,PASAJE MICAELA BASTIDAS LT. 1 / PARCELA 10274-G- SECTOR FUNDO CHACUPE,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.817365,-79.828418,,Clásico,LA00010
LI01069,B_1,OYON URA,LIMA,OYON,OYON,PJ. 15 DE AGOSTO / VILLA OYON,NO URBANO,Zona 2,REGIONES,FEE,-10.6691667,-76.7741667,,Abandonar,LI01069
LA00420,D_1,OYOTUN,LAMBAYEQUE,CHICLAYO,OYOTUN,"Lote 2 de la Manzana 1, con frente a la calle José Olaya s/n, Pueblo Tradicional Oyotún, distrito de Oyotún, provincia de Chiclayo y departamento de Lambayeque",NO URBANO,Zona 1,REGIONES,FEE,-6.83836,-79.29716,Sitio_FITEL,Abandonar,LA00420
LA00421,D_1,OYOTUN-NODO-DE-ACCESO-F,LAMBAYEQUE,CHICLAYO,OYOTUN,"Lote 1 de la Manzana 29A, pueblo tradicional  de Oyontun, distrito de Oyontun, prov. de Chiclayo, dpto. de Lambayeque",NO URBANO,Zona 1,REGIONES,FEE,-6.83836,-79.29716,Sitio_FITEL,Abandonar,LA00421
LI01706,B_1,P DE LA REPUBLICA,LIMA,LIMA,SANTIAGO DE SURCO,CALLE SANTO CRISTO CON CALLE ARICA,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.14627,-77.0014,,Black,LI01706
LI00411,B_3,P HUANDO,LIMA,HUARAL,HUARAL,LOTE N° 16 DE LA MZ F-1 DE LA LOTIZACIÓN APARICIO,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-11.492133,-77.198858,,Oro,LI00411
IC00021,B_3,P PENAGOS,ICA,PISCO,PISCO,"CLL MANUEL BARRIONUEVO 161, SECTOR CERCADO",NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-13.7058,-76.2001,,Black,IC00021
HN00151,B_2,P PUELLES,HUANUCO,HUANUCO,HUANUCO,P_Puelles,URBANO REGIONES,Zona 2,REGIONES,FEE,-9.92408,-76.23559,,Oro,HN00151
PI00321,B_3,P_CHANNEL,PIURA,SULLANA,SULLANA,SANTA CLARA 551 URB. SANTA ROSA,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-4.90512,-80.69995,,Oro,PI00321
LI06332,B_1,PABELLON_V,LIMA,LIMA,SAN MIGUEL,JR URUBAMBA CRUCE AV JOSÉ DE LA RIVA AGUERO,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.07304,-77.0831,,Black,LI06332
LL00350,B_2,PABLO CASALS,LA LIBERTAD,TRUJILLO,TRUJILLO,"TIENDA 03 - COCINA, MZ A LT 1O URBANIZACION LOS CEDROS",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.097364,-79.043357,,Black,LL00350
LL00351,B_2,PABLO ROJAS (MICROCELDA),LA LIBERTAD,TRUJILLO,TRUJILLO,"CALLE JUAN DEL CORRAL N° 957-959 (MZ. F LT. 40), URB. EL BOSQUE",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.10372,-79.00483,,Black,LL00351
LL00074,B_3,PACANGA URA,LA LIBERTAD,CHEPEN,PACANGA,"PROGRESO 421, CPM VILLA DE PACANGA (CA. 28 DE JULIO)",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.171,-79.486388,,Abandonar,LL00074
LL00085,B_3,PACANGUILLA URA,LA LIBERTAD,CHEPEN,PACANGA,CASERIO PACANGUILLA FRENTE CARRETERA PANAMERICANA,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.155917,-79.444885,,Abandonar,LL00085
LL00018,D_3,PACASMAYO,LA LIBERTAD,PACASMAYO,PACASMAYO,CALLE LADISLAO ESPINAR N° 187,NO URBANO,Zona 1,REGIONES,FEE,-7.40194444,-79.565,,Oro,LL00018
LL00108,B_3,PACASMAYO 2,LA LIBERTAD,PACASMAYO,PACASMAYO,CALLE PABLO F. LLONTO  Nº 829 MZ 4 LOTE 26,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.405933,-79.570061,,Oro,LL00108
LL00306,B_3,PACASMAYO 3,LA LIBERTAD,PACASMAYO,PACASMAYO,CENTRO POBLADO PACASMAYO SECTOR EL PORVENIR MZ 22 LT 1 ,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.406412,-79.562195,,Oro,LL00306
LL00260,B_3,PACASMAYO JR.JUNIN,LA LIBERTAD,PACASMAYO,PACASMAYO,JR. LADISLAO ESPINAR NO. 34,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.400631,-79.569553,,Oro,LL00260
LI00203,D_1,REAL FELIPE,CALLAO,CALLAO,CALLAO,AV. PAZ SOLDÁN N° 251-259,URBANO LIMA,Zona 1,LIMA,FEE,-12.06317,-77.14667,,Oro,LI00203
LI00417,B_3,PACAYAL,LIMA,LIMA,CARABAYLLO,INTERSECCION AV. PROLONGACION UNIVERSITARIA Y AV. PACAYAL 2,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.864656,-77.015683,,Oro,LI00417
PI00153,B_2,PACCHA,PIURA,MORROPON,CHULUCANAS,"AV. MIGUEL GRAU, MZ. 31, LOTE 32, CENTRO POBLADO PACHA",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-5.01103,-80.22508,,Clásico,PI00153
TU00004,D_1,TUMBES CENTRO,TUMBES,TUMBES,TUMBES,CALLE SAN MARTÍN N° 158,URBANO REGIONES,Zona 1,REGIONES,FEE,-3.569857,-80.458625,,Oro,TU00004
LI04503,B_1,PACHACAMAC URA,LIMA,LIMA,PACHACAMAC,JR. NARANJOS / AV. COLONIAL,URBANO LIMA,Zona 2,LIMA,FEE,-12.22770056,-76.85892722,,Clásico,LI04503
LA00644,B_2,PACHACAMAC_ANTENOR_ORREGO,LAMBAYEQUE,CHICLAYO,LA VICTORIA,CALLE ANTENOR ORREGO N° 2001 MZ 23 LT 04,URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.803817,-79.832017,,Clásico,LA00644
LI00507,B_2,PACHACUTEC,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,PUEBLO JOVEN INCA PACHACUTEC MZ. 25 LT. 7 CALLE MARIA PARADO DE BELLIDO 225 SECTOR. MICAELA BASTIDAS,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.175331,-76.947201,,Oro,LI00507
LI00014,D_1,AURORA,LIMA,LIMA,MIRAFLORES,AV. ANDRÉS A. CÁCERES 340 -342 URB. SAN ANTONIO,URBANO LIMA,Zona 2,LIMA,FEE,-12.119814,-77.02072,,Black,LI00014
HN00243,D_2,PACHAMACHAY,HUANUCO,AMBO,AMBO,CERRO PACHAMACHAY,NO URBANO,Zona 2,REGIONES,FEE,-10.34,-76.26333333,,Abandonar,HN00243
CU00068,B_2,PACHAPAPA,CUSCO,CUSCO,WANCHAQ,"AV. TUPAC AMARU Nº 6-A MANZANA ""N"" - URB. SAN BORJA - WANCHAC - CUSCO - CUSCO",URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-13.5298800299247,-71.9641901168277,,Clásico,CU00068
LA00157,D_2,PACHERREZ_LA,LAMBAYEQUE,CHICLAYO,NUEVA ARICA,SBN - CERRO PACHERREZ (PARTE ALTA),NO URBANO,Zona 1,REGIONES,FEE,-6.7805,-79.507472,,Abandonar,LA00157
LA00423,D_3,PACHERREZ_LA2,LAMBAYEQUE,CHICLAYO,PUCALA,CENTRO POBLADO PACHERREZ MZ I LOTE 9,NO URBANO,Zona 1,REGIONES,FEE,-6.77916,-79.52567,Sitio_FITEL,Abandonar,LA00423
LA00640,B_2,PACIFICO_CHICLAYO,LAMBAYEQUE,CHICLAYO,PIMENTEL,AV. JUAN TOMMIS STACK (O AV. PACIFICO) CUADRA 8 S/N CHICLAYO JUNTO AL GOBIERNO REGIONAL (EX FONCODES),URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-6.77675583634365,-79.8703448828654,,Clásico,LA00640
MO00020,B_3,PACOCHA,MOQUEGUA,ILO,PACOCHA,PUEBLO NUEVO PACOCHA,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-17.61283333,-71.33638889,,Clásico,MO00020
LA00424,D_1,PACORA,LAMBAYEQUE,LAMBAYEQUE,PACORA,CARRETERA PANAMERICANA S/N PREDIO SAN SEBASTIAN UC 111494,NO URBANO,Zona 1,REGIONES,FEE,-6.4315,-79.8424,Sitio_FITEL,Abandonar,LA00424
LA00113,B_3,PACORA CP,LAMBAYEQUE,LAMBAYEQUE,PACORA,CALLE LEONCIO PRADO 117 MZ N LT A,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-6.42747,-79.84073,,Abandonar,LA00113
LA00425,D_1,PACORA-NODO-DE-ACCESO-F,LAMBAYEQUE,LAMBAYEQUE,PACORA,"Predio La Huerta, Valle La Leche, Sector Pueblo, distrito de Pacora, Provincia de Lambayeque y Departamento de Lambayeque ",NO URBANO,Zona 1,REGIONES,FEE,-6.4315,-79.8424,Sitio_FITEL,Abandonar,LA00425
LI05937,B_2,PACTO_ANDINO,LIMA,LIMA,VILLA EL SALVADOR,SECTOR 1 GRUPO 4 MZ A LOTE 6,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.193213,-76.94301,,Oro,LI05937
AP00172,D_2,PACUCHA CLARO,APURIMAC,ANDAHUAYLAS,PACUCHA,CERRO CHUNTA WUILLCA,URBANO REGIONES,Zona 3,REGIONES,FEE,-13.62355,-73.35733,,Abandonar,AP00172
AR00090,B_2,PAD 4,AREQUIPA,AREQUIPA,YARABAMBA,CERRO NEGRO,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-16.542361,-71.55825,,Abandonar,AR00090
LI00808,B_2,PADUA,LIMA,LIMA,SAN BORJA,Av. San Luis 2852-San Borja,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.1056467,-76.9930581,,Black,LI00808
LI00723,B_3,PAEZ 1,LIMA,LIMA,SANTA ANITA,El poste esta ubicado en María Parado de Bellido 1072 /Minaya,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.04507,-76.97557,,Oro,LI00723
LI01235,B_3,PAEZ 2,LIMA,LIMA,SANTA ANITA,EL POSTE ESTA UBICADO EN AV. LOS EUCALIPTOS CON MICAELA BASTIDAS N 494,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.04384,-76.97448,,Oro,LI01235
LI01236,B_3,PAEZ 3,LIMA,LIMA,SANTA ANITA,EL POSTE ESTA UBICADO EN LA AV. JUAN GUILLERMO CON BOLOGNESI Y MANUEL DE LA TORRE MOORE CDRA. 4,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.04658,-76.97194,,Oro,LI01236
LI00430,B_2,PAGADOR,LIMA,LIMA,SAN JUAN DE MIRAFLORES,AV DEFENSORES DE LIMA MZ A LT J SECTOR ALFONSO UGARTE,URBANO LIMA,Zona 2,LIMA,FEE,-12.144304,-76.972421,,Oro,LI00430
LL00376,B_3,PAIJAN NORTE LL,LA LIBERTAD,ASCOPE,PAIJAN,"CALLE JOSE OLAYA Mz.5 Lt.14 A.A.H.H. ALTO PAIJAN SECTOR MONTERREY, SECTOR POSTE BLANCO, SECTOR I",NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.72293,-79.30431,,Oro,LL00376
LI00154,D_1,OQUENDO,CALLAO,CALLAO,CALLAO,NESTOR GAMBETTA KM 7.1,URBANO LIMA,Zona 1,LIMA,FEE,-11.97894,-77.1246,,Oro,LI00154
AR00356,B_2,PAISAJISTA,AREQUIPA,AREQUIPA,AREQUIPA,ASOCIACION MIRADOR LOS MILAGROS KM 6.5 -YURA,URBANO REGIONES,Zona 3,REGIONES,FEE,-16.293564,-71.633405,,Black,AR00356
AR00573,B_2,PAISAJISTA_AMERICAS,AREQUIPA,AREQUIPA,JACOBO HUNTER,"ASENTAMIENTO POBLACION ASOCIACION DE VECINOS DE LA URBANIZACION TRADICIONAL VISTA ALEGRE, MANZANA L, LOTE 3",URBANO REGIONES,Zona 3,REGIONES,BAJO DEMANDA,-16.43541,-71.56358,,Clásico,AR00573
LI00169,D_1,PARQUEBAJO,LIMA,LIMA,SANTIAGO DE SURCO,CALLE CAMINO REAL N° 630,URBANO LIMA,Zona 2,LIMA,FEE,-12.15401,-77.01436,,Black,LI00169
LI00229,D_1,STA ISABEL,LIMA,LIMA,SANTIAGO DE SURCO,PASAJE 22 MZ N LOTE 19 - SANTA ISABEL DE VILLA,URBANO LIMA,Zona 2,LIMA,FEE,-12.202683,-76.977294,,Black,LI00229
PI00022,B_2,PAITA 3 NEW,PIURA,PAITA,PAITA,PARTE ALTA DE SAN PEDRO ENTRE LOS PUEBLOS JÓVENES SAN PEDRO Y LA MERCED,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-5.08681,-81.117456,,Oro,PI00022
PI00360,B_2,PAITA INDUSTRIAL PI,PIURA,PAITA,PAITA,AV. D S/N,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-5.07951335,-81.07623563,,Oro,PI00360
PI00073,B_2,PAITA OTF,PIURA,PAITA,PAITA,MZ A LOTE 12 AAHH ALEJANDRO TORRES VEGA,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-5.099355,-81.109694,,Oro,PI00073
PI00629,B_3,PAITA_COMPLEJO,PIURA,PAITA,PAITA,MZ. G1 LOTE 6 SECTOR PORVENIR,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-5.103823,-81.100788,,Oro,PI00629
SM00053,B_3,PAJATEN,SAN MARTIN,MARISCAL CACERES,JUANJUI,PREDIO UBICADO EN J THOMAS P AGUIRRE C03 MZ 224 BARRIO LA MERCED,NO URBANO,Zona 1,REGIONES,BAJO DEMANDA,-7.17437,-76.72381,,Abandonar,SM00053
SM00454,D_3,PAJONAL,SAN MARTIN,MOYOBAMBA,CALZADA,"CALZADA, MOYOBAMBA, SAN MARTIN",NO URBANO,Zona 1,REGIONES,FEE,-6.02983,-77.06692,Sitio_PIA,Abandonar,SM00454
PA00094,D_1,PAJONAL 1,PASCO,OXAPAMPA,VILLA RICA,CERRO PAJONAL,NO URBANO,Zona 2,REGIONES,FEE,-10.65027778,-75.29916667,,Abandonar,PA00094
LI00364,B_2,PALACIO MUNICIPAL,LIMA,LIMA,LIMA,"CALLE CONDE DE SUPERUNDA, EN LA MUNICIPALIDAD DE LIMA",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.045149,-77.031194,,Black,LI00364
LI00163,D_2,PALAO,LIMA,LIMA,SAN MARTIN DE PORRES,JR. MARCOS NICOLINI 139 - URB.INGENIERIA,URBANO LIMA,Zona 3,LIMA,FEE,-12.019045,-77.052137,,Oro,LI00163
LI04496,B_1,PALAO URA,LIMA,LIMA,SAN MARTIN DE PORRES,STA. MERCEDES 184 URB. PALAO (MZ C18 LT 49),URBANO LIMA,Zona 3,LIMA,FEE,-12.0189993,-77.0613773,,Oro,LI04496
