Código Unico,Tipo de Sitio HISPAM,Nombre Sitio,Departamento,Provincia,Distrito,Direccion,TIPO DE ZONA,Zona,L/R,Atención Incidencias,Latitud,Longitud,Observación,nueva segmentación comercial,"Nemónico 
(Código único)"
UC00013,B_2,FORESTACION,UCAYALI,CORONEL PORTILLO,MANANTAY,"CL 20 MZ A LT 19, ASENTAMIENTO HUMANO LAS MELINAS",URBANO REGIONES,Zona 2,REGIONES,FEE,-8.405255,-74.567172,,Clásico,UC00013
LL00092,P_3,PACASMAYO URA,LA LIBERTAD,PACASMAYO,PACASMAYO,JOSÉ A. RÁZURI / NICOLÁS DE PIEROLA ,NO URBANO,Zona 1,REGIONES,FEE,-7.4078,-79.5543,,Oro,LL00092
CU00008,B_2,FORTUNIA,CUSCO,CHUMBIVILCAS,CHAMACA,CERRO FORTUNIA - MINERA HUDBAY,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-14.48534167,-71.82068611,,Abandonar,CU00008
CU00116,B_3,FORTUNIA CAMPAMENTO,CUSCO,CHUMBIVILCAS,VELILLE,Centro Poblado Chilloroya,NO URBANO,Zona 3,REGIONES,BAJO DEMANDA,-14.4652,-71.79032,,Abandonar,CU00116
LI00793,B_1,FRAGATAS,LIMA,LIMA,SANTIAGO DE SURCO,CALLE EL MARABU MZ C LOTE 17 URB. LOS HERALDOS,URBANO LIMA,Zona 2,LIMA,FEE,-12.16764,-76.99466,,Black,LI00793
LI00395,B_2,FRAGUAS,LIMA,LIMA,INDEPENDENCIA,AV NARANJAL N° 271 (MANZANA C SUB LOTE 19 B) URBANIZACIÓN LOTIZACIÓN INDUSTRIAL EL NARANJAL - INDEPENDENCIA.,URBANO LIMA,Zona 3,LIMA,BAJO DEMANDA,-11.977719,-77.062501,,Clásico,LI00395
LI00082,B_2,FRANCIA_LI,LIMA,LIMA,LIMA,JR. CAMANA N° 993,URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.052829,-77.037334,,Black,LI00082
LI00903,B_2,FRANCIA_LI2,LIMA,LIMA,MIRAFLORES,CALLE INDEPENDENCIA 211,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.117721,-77.032577,,Black,LI00903
LI04028,B_2,FRANCISCO CUELLAR,LIMA,LIMA,SANTIAGO DE SURCO, Jr. Cristobal de Peralta Norte 410 intersección con Geronimo de Aliaga Norte 505,URBANO LIMA,Zona 2,LIMA,BAJO DEMANDA,-12.105755,-76.978552,,Black,LI04028
JU00446,B_3,FRANCISCO_CARLE,JUNIN,JAUJA,JAUJA,JR. VILLAREAL 381,NO URBANO,Zona 2,REGIONES,BAJO DEMANDA,-11.779809,-75.49405,,Abandonar,JU00446
LL00421,B_2,FRANCISCO_PAULA,LA LIBERTAD,TRUJILLO,TRUJILLO,"SANTA LUCIA LOTE N°9 Y 10 DEL CASERIO  DE MANPUESTO, SEGÚN DATO MUNICIPAL CALLE SANCHEZ CARRIO N°267, MANZANA A LOTE 10",URBANO REGIONES,Zona 1,REGIONES,BAJO DEMANDA,-8.085999,-79.01405,,Black,LL00421
LI05679,B_2,FRANKLIN_DELANO_ROOSEVELT,LIMA,LIMA,LIMA,"AVENIDA DELANO ROOSEVELT Nº303, Nº307, Nº311 Y Nº315",URBANO LIMA,Zona 1,LIMA,BAJO DEMANDA,-12.05535,-77.033387,,Black,LI05679
